TapahtumaID,Keskuksen nimi,Keskuksen perustamisvuosi,Hoitajan nimi,Eläin,Eläimen lempilelut1, Eläimen lempilelut2,Eläimen lempilelut3,Eläimen ikä,Toimenpide,Toimenpiteen pvm,Hoitajan palkka,Eläimen kiinniottopaikka,Kiinniottopvm,Eläimen laji,Keskuksen osoite
51,Tampereen pelastus,1918,Jaakko,Kadi,Köysi,,,3,Piikitys,3-6-1973,1633,Kauppakeskus,1-6-1996,Undulaatti,Tampereentie 5
52,Raaseporin rescue,1983,Untamo,Kaabo,Köysi,Tennispallo,Vinkulelu,4,Lääkkeen anto,28-3-1977,3814,,,Koira,Keskusta 2
53,Turun RescueKeskus,1904,Lauri,Ecko,Tennispallo,,,2,Piikitys,8-9-1973,1662,Sillanalus,14-2-1993,Kissa,Pelastustie 4
54,Tampereen pelastus,1918,Ninni,Kafu,Vinkulelu,Tennispallo,Köysi,3,Tarkistus,22-9-1993,4640,Sillanalus,11-11-1997,Kissa,Tampereentie 5
55,Raaseporin rescue,1983,Untamo,Ecko,Köysi,Vinkulelu,,1,Tarkistus,13-11-1996,3814,,,Undulaatti,Keskusta 2
56,Tampereen pelastus,1918,Lauri,Eden,,,,5,Piikitys,2-1-1984,3436,Roskis,5-2-1981,Undulaatti,Tampereentie 5
57,Tampereen pelastus,1918,Jaakko,Kaapo,Vinkulelu,,,9,Piikitys,26-3-1974,1633,Sillanalus,7-2-1996,Koira,Tampereentie 5
58,Turun RescueKeskus,1904,Jaakko,Eddi,Köysi,,,5,Piikitys,18-2-1972,1422,Sillanalus,11-12-1999,Koira,Pelastustie 4
59,Tampereen pelastus,1918,Jaakko,Kafu,Tennispallo,Köysi,,7,Piikitys,7-1-1997,1633,Kauppakeskus,15-4-1987,Kissa,Tampereentie 5
60,Tampereen pelastus,1918,Jaakko,Kaapo,Vinkulelu,,,9,Lääkkeen anto,10-10-1996,1633,Sillanalus,7-2-1996,Koira,Tampereentie 5
61,Raaseporin rescue,1983,Harju,Ecco,Tennispallo,Köysi,Vinkulelu,8,Tarkistus,26-2-1970,4206,Sillanalus,25-12-1973,Koira,Keskusta 2
62,Turun RescueKeskus,1904,Kaapo,Edgar,Köysi,Vinkulelu,Tennispallo,10,Lääkkeen anto,11-3-1990,1785,Katu,2-2-1997,Koira,Pelastustie 4
63,Tampereen pelastus,1918,Jaakko,Kafu,Tennispallo,Köysi,,7,Tarkistus,19-7-1979,1633,Kauppakeskus,15-4-1987,Kissa,Tampereentie 5
64,Tampereen pelastus,1918,Lauri,Edge,Tennispallo,Köysi,Vinkulelu,4,Piikitys,8-3-1990,3436,Roskis,28-1-1996,Koira,Tampereentie 5
65,Turun RescueKeskus,1904,Kaapo,Kaarlo,Vinkulelu,Tennispallo,,1,Lääkkeen anto,1-7-1996,1875,Sillanalus,28-6-1980,Koira,Pelastustie 4
66,Raaseporin rescue,1983,Olli,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,20-6-1997,3197,Roskis,19-6-1988,Koira,Keskusta 2
67,Raaseporin rescue,1983,Mirjami,Ecco,Tennispallo,,,4,Piikitys,2-11-1984,3111,,,Undulaatti,Keskusta 2
68,Turun RescueKeskus,1904,Jaakko,Eddi,Vinkulelu,Köysi,,2,Lääkkeen anto,25-11-1987,1422,Kauppakeskus,10-4-1993,Undulaatti,Pelastustie 4
69,Turun RescueKeskus,1904,Kaapo,Kaasu,Köysi,Vinkulelu,,4,Tarkistus,7-12-1989,1785,Roskis,24-9-1977,Undulaatti,Pelastustie 4
70,Turun RescueKeskus,1904,Lauri,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,20-6-1997,1662,Roskis,19-6-1988,Koira,Pelastustie 4
71,Tampereen pelastus,1918,Ninni,Eddy,Tennispallo,Vinkulelu,,6,Lääkkeen anto,5-10-1985,4640,Kauppakeskus,13-8-1992,Undulaatti,Tampereentie 5
72,Raaseporin rescue,1983,Lauri,Kaapo,Vinkulelu,,,9,Tarkistus,13-6-1998,2420,Sillanalus,7-2-1996,Koira,Keskusta 2
73,Turun RescueKeskus,1904,Kaapo,Edge,Vinkulelu,Tennispallo,Köysi,5,Lääkkeen anto,20-5-1975,1785,Roskis,28-11-1985,Undulaatti,Pelastustie 4
74,Turun RescueKeskus,1904,Kaapo,Edgar,Köysi,Vinkulelu,Tennispallo,10,Piikitys,27-6-1980,1785,Katu,2-2-1997,Koira,Pelastustie 4
75,Raaseporin rescue,1983,Harju,Edgar,Köysi,Vinkulelu,Tennispallo,10,Lääkkeen anto,2-6-1994,4206,Katu,2-2-1997,Koira,Keskusta 2
76,Turun RescueKeskus,1904,Lauri,Eazy,Tennispallo,Vinkulelu,,1,Piikitys,8-1-1971,1662,Katu,9-3-1983,Undulaatti,Pelastustie 4
77,Turun RescueKeskus,1904,Kaapo,Ecco,,,,7,Tarkistus,2-7-1990,1875,Roskis,22-10-1975,Undulaatti,Pelastustie 4
78,Tampereen pelastus,1918,Lauri,Ecco,,,,9,Leikkihetki,2-3-1987,3436,Roskis,7-9-1991,Undulaatti,Tampereentie 5
79,Turun RescueKeskus,1904,Eevertti,Ebony,Köysi,Vinkulelu,Tennispallo,8,Piikitys,10-10-1996,1722,Roskis,26-10-1988,Undulaatti,Pelastustie 4
80,Tampereen pelastus,1918,Ninni,Kafu,Vinkulelu,Tennispallo,Köysi,3,Leikkihetki,18-10-1998,4640,Sillanalus,11-11-1997,Kissa,Tampereentie 5
81,Raaseporin rescue,1983,Mirjami,Edda,Vinkulelu,Tennispallo,Köysi,2,Piikitys,21-2-1985,3111,Katu,5-1-1971,Koira,Keskusta 2
82,Turun RescueKeskus,1904,Kaapo,Kaasu,Köysi,Vinkulelu,,4,Tarkistus,3-5-1988,1785,Roskis,24-9-1977,Undulaatti,Pelastustie 4
83,Raaseporin rescue,1983,Lauri,Kaapo,Vinkulelu,,,9,Piikitys,26-3-1974,2420,Sillanalus,7-2-1996,Koira,Keskusta 2
84,Tampereen pelastus,1918,Jaakko,Edgar,Köysi,,,4,Lääkkeen anto,28-3-1985,4724,Roskis,4-1-1999,Undulaatti,Tampereentie 5
85,Raaseporin rescue,1983,Mirjami,Edda,Vinkulelu,Tennispallo,Köysi,2,Leikkihetki,21-11-1984,3111,Katu,5-1-1971,Koira,Keskusta 2
86,Tampereen pelastus,1918,Matti,Eddie,Tennispallo,Köysi,,5,Lääkkeen anto,15-9-1984,2646,Kauppakeskus,22-5-1996,Undulaatti,Tampereentie 5
87,Raaseporin rescue,1983,Untamo,Ecko,Köysi,Vinkulelu,,1,Lääkkeen anto,9-5-1980,3814,,,Undulaatti,Keskusta 2
88,Turun RescueKeskus,1904,Kaapo,Edge,Vinkulelu,Tennispallo,Köysi,5,Lääkkeen anto,10-9-1990,1785,Roskis,28-11-1985,Undulaatti,Pelastustie 4
89,Raaseporin rescue,1983,Untamo,Kaabo,Köysi,Tennispallo,Vinkulelu,4,Piikitys,3-5-1983,3814,,,Koira,Keskusta 2
90,Tampereen pelastus,1918,Matti,Edge,Köysi,Vinkulelu,,2,Lääkkeen anto,5-10-1977,2646,Sillanalus,14-5-2000,Koira,Tampereentie 5
91,Raaseporin rescue,1983,Untamo,Ecko,Köysi,Vinkulelu,,1,Lääkkeen anto,14-1-1993,3814,,,Undulaatti,Keskusta 2
92,Turun RescueKeskus,1904,Kaapo,Eddy,,,,10,Piikitys,13-4-1985,1875,Sillanalus,27-11-1995,Koira,Pelastustie 4
93,Turun RescueKeskus,1904,Eevertti,Kadet,Vinkulelu,Köysi,Tennispallo,8,Lääkkeen anto,9-5-1981,1722,Katu,8-4-1989,Kissa,Pelastustie 4
94,Tampereen pelastus,1918,Ninni,Eddie,Tennispallo,Vinkulelu,Köysi,8,Leikkihetki,26-3-1972,4640,Sillanalus,12-2-1985,Koira,Tampereentie 5
95,Turun RescueKeskus,1904,Lauri,Eazy,Tennispallo,Vinkulelu,,1,Leikkihetki,12-1-1975,1662,Katu,9-3-1983,Undulaatti,Pelastustie 4
96,Tampereen pelastus,1918,Lauri,Ecco,,,,9,Leikkihetki,3-12-1992,3436,Roskis,7-9-1991,Undulaatti,Tampereentie 5
97,Turun RescueKeskus,1904,Eevertti,Easy,Tennispallo,Vinkulelu,,5,Lääkkeen anto,21-7-1973,1722,Katu,7-5-1983,Kissa,Pelastustie 4
98,Turun RescueKeskus,1904,Kaapo,Edgar,Köysi,Vinkulelu,Tennispallo,10,Leikkihetki,27-6-1977,1785,Katu,2-2-1997,Koira,Pelastustie 4
99,Tampereen pelastus,1918,Lauri,Kaarlo,Tennispallo,Köysi,,10,Tarkistus,27-10-1990,3436,Kauppakeskus,11-9-1991,Koira,Tampereentie 5
100,Turun RescueKeskus,1904,Jaakko,Eddi,Köysi,,,5,Tarkistus,24-5-1998,1422,Sillanalus,11-12-1999,Koira,Pelastustie 4
101,Turun RescueKeskus,1904,Lauri,Ecco,Tennispallo,,,4,Piikitys,2-11-1984,1662,,,Undulaatti,Pelastustie 4
102,Raaseporin rescue,1983,Lauri,Edgar,Köysi,Vinkulelu,Tennispallo,10,Piikitys,27-6-1980,2420,Katu,2-2-1997,Koira,Keskusta 2
103,Raaseporin rescue,1983,Olli,Eddi,Tennispallo,Köysi,Vinkulelu,3,Tarkistus,13-7-1981,3197,Katu,4-12-1976,Koira,Keskusta 2
104,Tampereen pelastus,1918,Ninni,Eddy,Tennispallo,Vinkulelu,,6,Lääkkeen anto,21-4-1976,4640,Kauppakeskus,13-8-1992,Undulaatti,Tampereentie 5
105,Tampereen pelastus,1918,Ninni,Kafu,Vinkulelu,Tennispallo,Köysi,3,Piikitys,10-9-1998,4640,Sillanalus,11-11-1997,Kissa,Tampereentie 5
106,Tampereen pelastus,1918,Lauri,Eden,,,,5,Piikitys,11-10-1979,3436,Roskis,5-2-1981,Undulaatti,Tampereentie 5
107,Raaseporin rescue,1983,Olli,Eddy,Tennispallo,Köysi,,8,Tarkistus,20-8-2000,3197,Sillanalus,16-12-1975,Kissa,Keskusta 2
108,Turun RescueKeskus,1904,Jaakko,Eddy,Tennispallo,Köysi,Vinkulelu,9,Leikkihetki,18-6-1999,1422,Katu,4-10-1970,Kissa,Pelastustie 4
109,Tampereen pelastus,1918,Jaakko,Kadi,,,,6,Piikitys,20-1-1973,1633,,,Kissa,Tampereentie 5
110,Turun RescueKeskus,1904,Kaapo,Eddy,,,,10,Lääkkeen anto,24-12-1993,1875,Sillanalus,27-11-1995,Koira,Pelastustie 4
111,Turun RescueKeskus,1904,Eevertti,Kadet,Vinkulelu,Köysi,Tennispallo,8,Lääkkeen anto,26-3-1987,1722,Katu,8-4-1989,Kissa,Pelastustie 4
112,Turun RescueKeskus,1904,Lauri,Ecco,Tennispallo,,,4,Piikitys,7-1-1970,1662,,,Undulaatti,Pelastustie 4
113,Tampereen pelastus,1918,Jaakko,Kaasu,Vinkulelu,,,8,Lääkkeen anto,15-2-1981,4724,Roskis,24-12-1970,Koira,Tampereentie 5
114,Tampereen pelastus,1918,Jaakko,Kaasu,Vinkulelu,,,8,Tarkistus,4-4-1992,4724,Roskis,24-12-1970,Koira,Tampereentie 5
115,Raaseporin rescue,1983,Harju,Eddy,Tennispallo,Vinkulelu,,6,Lääkkeen anto,7-3-1992,4206,Kauppakeskus,13-8-1992,Undulaatti,Keskusta 2
116,Raaseporin rescue,1983,Mirjami,Edge,,,,4,Piikitys,6-4-1984,3111,Katu,4-11-1970,Undulaatti,Keskusta 2
117,Tampereen pelastus,1918,Lauri,Ecco,,,,9,Piikitys,8-6-1984,3436,Roskis,7-9-1991,Undulaatti,Tampereentie 5
118,Tampereen pelastus,1918,Lauri,Kaarlo,Tennispallo,Köysi,,10,Tarkistus,18-2-1997,3436,Kauppakeskus,11-9-1991,Koira,Tampereentie 5
119,Turun RescueKeskus,1904,Eevertti,Kadi,Köysi,,,3,Lääkkeen anto,15-4-1988,1722,Kauppakeskus,1-6-1996,Undulaatti,Pelastustie 4
120,Raaseporin rescue,1983,Mirjami,Edda,Vinkulelu,Tennispallo,Köysi,2,Leikkihetki,20-3-1992,3111,Katu,5-1-1971,Koira,Keskusta 2
121,Tampereen pelastus,1918,Matti,Edge,Köysi,Vinkulelu,,2,Leikkihetki,4-11-1973,2646,Sillanalus,14-5-2000,Koira,Tampereentie 5
122,Turun RescueKeskus,1904,Lauri,Ecco,Tennispallo,,,4,Lääkkeen anto,3-10-2000,1662,,,Undulaatti,Pelastustie 4
123,Raaseporin rescue,1983,Lauri,Kaasu,Vinkulelu,Tennispallo,,6,Piikitys,10-4-1993,2420,Katu,11-8-1980,Undulaatti,Keskusta 2
124,Turun RescueKeskus,1904,Jaakko,Eddi,Köysi,,,5,Piikitys,12-11-1987,1422,Sillanalus,11-12-1999,Koira,Pelastustie 4
125,Raaseporin rescue,1983,Mirjami,Kaasu,Vinkulelu,,,8,Leikkihetki,14-10-1975,3111,Roskis,24-12-1970,Koira,Keskusta 2
126,Turun RescueKeskus,1904,Kaapo,Eddy,,,,10,Lääkkeen anto,19-11-1982,1875,Sillanalus,27-11-1995,Koira,Pelastustie 4
127,Tampereen pelastus,1918,Matti,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,20-6-1997,2646,Roskis,19-6-1988,Koira,Tampereentie 5
128,Raaseporin rescue,1983,Harju,Eddy,Tennispallo,Vinkulelu,,6,Lääkkeen anto,21-4-1976,4206,Kauppakeskus,13-8-1992,Undulaatti,Keskusta 2
129,Raaseporin rescue,1983,Harju,Eddi,Köysi,Vinkulelu,Tennispallo,10,Tarkistus,1-10-1978,4206,Sillanalus,26-3-1993,Undulaatti,Keskusta 2
130,Turun RescueKeskus,1904,Jaakko,Eddy,Tennispallo,Köysi,Vinkulelu,9,Leikkihetki,17-3-1979,1422,Katu,4-10-1970,Kissa,Pelastustie 4
131,Raaseporin rescue,1983,Olli,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,9-4-1996,3197,Roskis,19-6-1988,Koira,Keskusta 2
132,Turun RescueKeskus,1904,Lauri,Kaarina,Vinkulelu,Köysi,Tennispallo,9,Piikitys,19-8-1974,1662,Katu,25-6-2000,Undulaatti,Pelastustie 4
133,Turun RescueKeskus,1904,Kaapo,Eden,Vinkulelu,Tennispallo,Köysi,10,Tarkistus,13-8-1974,1785,,,Koira,Pelastustie 4
134,Raaseporin rescue,1983,Olli,Eddy,Tennispallo,Köysi,,8,Leikkihetki,2-12-1975,3197,Sillanalus,16-12-1975,Kissa,Keskusta 2
135,Raaseporin rescue,1983,Mirjami,Kaasu,Vinkulelu,,,8,Tarkistus,4-4-1992,3111,Roskis,24-12-1970,Koira,Keskusta 2
136,Tampereen pelastus,1918,Matti,Eddie,Tennispallo,Köysi,,5,Leikkihetki,5-5-1992,2646,Kauppakeskus,22-5-1996,Undulaatti,Tampereentie 5
137,Raaseporin rescue,1983,Untamo,Eazy,,,,1,Lääkkeen anto,19-10-1971,3814,Roskis,15-2-1990,Koira,Keskusta 2
138,Turun RescueKeskus,1904,Jaakko,Eddi,Vinkulelu,Köysi,,2,Piikitys,1-10-1971,1422,Kauppakeskus,10-4-1993,Undulaatti,Pelastustie 4
139,Tampereen pelastus,1918,Matti,Eddie,Tennispallo,Köysi,,5,Tarkistus,13-8-1990,2646,Kauppakeskus,22-5-1996,Undulaatti,Tampereentie 5
140,Raaseporin rescue,1983,Harju,Ecco,Tennispallo,Köysi,Vinkulelu,8,Leikkihetki,8-7-1975,4206,Sillanalus,25-12-1973,Koira,Keskusta 2
141,Turun RescueKeskus,1904,Eevertti,Eddie,Köysi,Tennispallo,Vinkulelu,2,Lääkkeen anto,13-4-1981,1722,Roskis,11-3-1975,Undulaatti,Pelastustie 4
142,Raaseporin rescue,1983,Harju,Eddi,Köysi,Vinkulelu,Tennispallo,10,Lääkkeen anto,24-2-1980,4206,Sillanalus,26-3-1993,Undulaatti,Keskusta 2
143,Tampereen pelastus,1918,Matti,Edge,Köysi,Vinkulelu,,2,Piikitys,27-4-1990,2646,Sillanalus,14-5-2000,Koira,Tampereentie 5
144,Tampereen pelastus,1918,Jaakko,Kaabo,,,,9,Leikkihetki,16-3-1981,4724,Katu,2-7-1982,Kissa,Tampereentie 5
145,Tampereen pelastus,1918,Jaakko,Kadi,,,,6,Leikkihetki,3-8-1988,1633,,,Kissa,Tampereentie 5
146,Turun RescueKeskus,1904,Kaapo,Kaarlo,Vinkulelu,Tennispallo,,1,Lääkkeen anto,17-10-1993,1875,Sillanalus,28-6-1980,Koira,Pelastustie 4
147,Raaseporin rescue,1983,Lauri,Kaarina,Köysi,,,8,Tarkistus,28-1-1982,2420,Kauppakeskus,16-4-1986,Kissa,Keskusta 2
148,Turun RescueKeskus,1904,Lauri,Kaarina,Vinkulelu,Köysi,Tennispallo,9,Piikitys,2-12-1978,1662,Katu,25-6-2000,Undulaatti,Pelastustie 4
149,Raaseporin rescue,1983,Mirjami,Edge,,,,4,Tarkistus,10-3-1975,3111,Katu,4-11-1970,Undulaatti,Keskusta 2
150,Tampereen pelastus,1918,Matti,Ebony,Köysi,Vinkulelu,Tennispallo,8,Lääkkeen anto,9-4-1996,2646,Roskis,19-6-1988,Koira,Tampereentie 5
151,Raaseporin rescue,1983,Olli,Eddy,Tennispallo,Köysi,,8,Tarkistus,9-11-1980,3197,Sillanalus,16-12-1975,Kissa,Keskusta 2
152,Raaseporin rescue,1983,Lauri,Kadet,Vinkulelu,Köysi,Tennispallo,8,Lääkkeen anto,9-5-1981,2420,Katu,8-4-1989,Kissa,Keskusta 2
153,Turun RescueKeskus,1904,Kaapo,Ecco,,,,7,Tarkistus,20-10-1988,1875,Roskis,22-10-1975,Undulaatti,Pelastustie 4
154,Tampereen pelastus,1918,Lauri,Kaarlo,Tennispallo,Köysi,,10,Piikitys,27-7-1970,3436,Kauppakeskus,11-9-1991,Koira,Tampereentie 5
155,Tampereen pelastus,1918,Matti,Edge,Köysi,Vinkulelu,,2,Leikkihetki,8-3-1996,2646,Sillanalus,14-5-2000,Koira,Tampereentie 5
156,Raaseporin rescue,1983,Mirjami,Edge,,,,4,Leikkihetki,4-11-1991,3111,Katu,4-11-1970,Undulaatti,Keskusta 2
157,Tampereen pelastus,1918,Jaakko,Kadi,Vinkulelu,,,2,Tarkistus,18-6-1979,1633,Roskis,6-3-1985,Koira,Tampereentie 5
158,Raaseporin rescue,1983,Untamo,Eazy,,,,1,Leikkihetki,11-2-1994,3814,Roskis,15-2-1990,Koira,Keskusta 2
159,Turun RescueKeskus,1904,Eevertti,Eddie,Köysi,Tennispallo,Vinkulelu,2,Lääkkeen anto,4-7-1995,1722,Roskis,11-3-1975,Undulaatti,Pelastustie 4
160,Tampereen pelastus,1918,Lauri,Eden,,,,5,Leikkihetki,13-10-1998,3436,Roskis,5-2-1981,Undulaatti,Tampereentie 5
161,Tampereen pelastus,1918,Matti,Kafu,Tennispallo,Vinkulelu,Köysi,8,Leikkihetki,6-6-1995,2646,Roskis,18-9-1977,Kissa,Tampereentie 5
